669165933,9925
963881480,2804
341417157,1779
514321792,8102
115456712,5062
547995746,2974
135425221,4187
871543967,8082
770463311,6070
616607081,6593
814711606,124
939825713,4168
187310731,8263
522840487,8974
832401311,4901
972292029,1673
419123971,6952
519820964,5430
441619336,3830
322067916,5908
819028031,7450
860673511,1273
795490682,2225
142278373,2187
740147912,5070
898523128,1815
347140347,5398
686048400,5822
435608613,5124
886494815,2370
249693334,8661
406502997,2125
158535134,2924
177713572,8250
756274640,7327
456767165,6409
162052476,3784
825304400,4767
320009267,6708
189965903,3987
699285638,3015
382392299,7234
994022214,2117
759224212,171
223359620,5930
902102267,962
331438481,8867
617667090,273
787399423,7842
837559306,1266
385383069,2269
918419539,9606
844530045,4063
441888415,3457
508980977,7637
114606559,3482
647876489,9905
868214595,2847
955357205,282
259353148,7215
450563752,682
569662845,4750
177636754,5518
705784308,6116
505716836,1705
699358165,4477
228944623,8656
807025039,5498
166460740,8287
610425555,7342
462405812,5010
816200339,673
585920464,5741
555990016,8656
231145322,9892
986435210,6954
217221009,9379
789176547,3732
688288152,8614
670854651,9654
213487374,4513
663110148,7884
286959302,6489
122583663,4085
827844560,6457
430915820,6422
180283772,8829
494747245,5559
513417565,522
345718562,4660
621386563,948
240470397,9389
423331391,2021
660643374,7910
963392674,8156
512878119,888
810711038,6267
728815257,1485
559427106,5767
665095412,5367
